name,domain,company_size,location,year_founded,website
Government Tool Room & Training Centre SHIVAMOGGA,Manufacturing,,"Shimoga, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Hamsavata IoT LLP,IT Industry,,"Hyderabad, Telangana, India",2025,
ClearCloud Technologies Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2020,https://clearcloudsys.com
UNOFFICIALOFFICE,Education Industry,,"Belagavi, Karnataka, India",2025,https://sites.google.com/view/unofficialoffice/home
Loginware Softtec Pvt Ltd,IT Industry,,"Bangalore Rural, Karnataka, India",2016,https://www.loginwaresofttec.com/
Codevice Solution Pvt Ltd.,IT Industry,,"Bangalore Rural, Karnataka, India",2010,https://codevicesolution.in/
Virabh Research Solutions &amp; Consultancy Pvt. Ltd.,IT Industry,,"Bangalore Rural, Karnataka, India",2019,https://virabh.in/
Skyneski Techprivated Limited,IT Industry,,"Mysuru, Karnataka, India",2023,https://skyneski.com
Carbine Systems Private Limited,Manufacturing,,"Belagavi, Karnataka, India",2023,https://www.carbine.co.in/
P4U HealthCare Pvt Ltd,IT Industry,,"Belagavi, Karnataka, India",2024,https://p4uhealthcare.com
noDevBuild LLP,IT Industry,,"Noida, Uttar Pradesh, India",2025,https://nodevbuild.com/
Central Institute of Petrochemicals Engineering &amp; Technology (CIPET:SARP-APDDRL),Government sector,,"Bangalore Rural, Karnataka, India",2017,https://www.cipet.gov.in/centres/cipet-bengaluru/introduction.php
Samarpan Sahyadri Tech LLP,Construction & Engineering,,"Mangalore, Karnataka, India",2019,
KEYLYNK TRAINING EMPOWERMENT AND MENTORSHIP LLP,Education Industry,,"Bengaluru Urban, Karnataka, India",2023,https://keylynk.com
Aparajita Civil Consultants LLP,Not Specified,,"Mysuru, Karnataka, India",2021,
CLOUDWAVE TECHNOLOGIES PVT LTD,Manufacturing,,"Bangalore Rural, Karnataka, India",2014,https://cloudwave.in
Govt. Tool Room & Training Centre - Maddur,Government sector,,"Mandya, Karnataka, India",2000,https://gttc.karnataka.gov.in/en
Pantech Solutions India Pvt Ltd,Not Specified,,"Chennai, Tamil Nadu, India",2021,https://pantechelearning.com/
EyeQ Dot Net Private Limited,IT Industry,,"Mangalore, Karnataka, India",2022,https://www.eyeqdotnet.com
Electrohms Private Limited,Manufacturing,,"Bengaluru Urban, Karnataka, India",1973,https://www.electrohms.com/
Naksys Global Technologies India Pvt Ltd,IT Industry,,"Bangalore Rural, Karnataka, India",2024,https://naksysglobal.com
Emertxe Information Technologies Private Limited,Education Industry,,"Bangalore Rural, Karnataka, India",2004,https://www.emertxe.com/
Government Tool Room & Training Centre - KADUR,Manufacturing,,"Chikmagalur, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Dubizzle Group Holdings Limited,"Marketing, Advertising, Sales",,"United Arab Emirates, United Arab Emirates, United Arab Emirates",2006,https://www.dubizzlegroup.com
UNNATHI ENTERPRISES.,Education Industry,,"Bengaluru Urban, Karnataka, India",2021,https://skilluniverse.net
Taskora Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://taskoratech.com/
Artallur Technologies India LLP,IT Industry,,"Belagavi, Karnataka, India",2019,https://atil.ltd/
ECO ENERGIME ENGINEERS LLP,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2015,https://www.eeellp.com/
averixis solutions,Education Industry,,"Bangalore Rural, Karnataka, India",2024,https://www.averixis.com
Karnataka German Technical Training Institute Extension Centre (KGTTI) - Karkala,Government sector,,"Udupi, Karnataka, India",2022,https://www.kgtti.com/
Karnataka German Technical Training Institute (KGTTI) Mangaluru,Education Industry,,"Mangalore, Karnataka, India",2015,https://www.kgtti.com/
Vidhyapeet Grow Your Skills Llp,Education Industry,,"Bangalore Rural, Karnataka, India",2025,https://vidhyapeetgrowyourskills.in/
Netzwerk Ai Pvt Ltd,IT Industry,,"Kalaburagi, Karnataka, India",2020,https://netzwerkai.in/
TARCIN ROBOTIC LLP,Education Industry,,"Madurai, Tamil Nadu, India",2017,https://tarcin.in
Manomaya AI Systems Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2022,https://manomayaai.com/
Clickcrawl Media Private Limited,IT Industry,,"Hubli, Karnataka, India",2018,https://clickcrawl.net/
Vrishabh Soft OPC Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,
SecuritySaints Technologies Pvt Ltd,IT Industry,,"Kolkata, West Bengal, India",2020,https://www.securitysaints.com/
Agile Value Systems Private Limited,IT Industry,,"Bangalore Rural, Karnataka, India",2014,https://agilevs.com/
STRINT TECHNOLOGIES PRIVATE LIMITED,IT Industry,,"Tirupati, Andhra Pradesh, India",2025,https://strinttechnologies.com
University BDT College of Engineering,Not Specified,,"Shimoga, Karnataka, India",2020,
RunShaw Technologies Private Limited,IT Industry,,"Mysuru, Karnataka, India",2018,https://runshaw.in/
SPACEGRAPH TECHNOLOGIES PRIVATE LIMITED,IT Industry,,"Bengaluru Urban, Karnataka, India",2019,https://spacegraph.in/
Fab Realty Private Limited,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2021,
RUTWIK NAGWANKAR,IT Industry,,"Pune, Maharashtra, India",2024,
ISTAFFVISION CONSULTING LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2021,https://www.istaffvision.in/
TAPAS INFRATECH,Construction & Engineering,,"Dakshina Kannada, Karnataka, India",2017,
DREGAL I PRIVATE LIMITED,IT Industry,,"Dakshina Kannada, Karnataka, India",2023,https://www.dregali.com/
Genzeducatewing innovation private limited,Education Industry,,"Bangalore Rural, Karnataka, India",2023,https://genzeducatewing.com
Spherenex,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://www.spherenex.com/
VS TEC,Not Specified,,"Bangalore Rural, Karnataka, India",2019,https://www.youtube.com/@VSTEC-GO
Ranazonai Technologies,IT Industry,,"Hyderabad, Telangana, India",2024,https://ranazonai.com/
CodingCup Labs,IT Industry,,"Bengaluru Urban, Karnataka, India",2022,https://codingcuplabs.com/
Mipzo EdTech Pvt Ltd,Education Industry,,"Hassan, Karnataka, India",2023,https://mipzosmile.in/
MicroDegree Education Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2017,https://www.microdegree.work/
AKASH ENTERPRISES,Manufacturing,,"Bengaluru Urban, Karnataka, India",2015,
INDISIGN,Manufacturing,,"Bengaluru Urban, Karnataka, India",2021,https://www.indi-sign.com/lander
SUMDRAGROFOODS,E-commerce,,"Bengaluru Urban, Karnataka, India",2023,
Novigo Solutions Private Limited,IT Industry,,"Mangalore, Karnataka, India",2013,http://www.novigosolutions.com
ParvaM Consul-Tech pvt. Ltd.,IT Industry,,"Bangalore Rural, Karnataka, India",2017,https://parvamconsultech.com/
EXE FACTOR ANALYTICS HUB LLP,Not Specified,,"Bangalore Rural, Karnataka, India",2024,https://exefactoranalyticshub.com/
LogicHive Solutions Pvt Ltd,IT Industry,,"Dakshina Kannada, Karnataka, India",2016,https://logichive.in/
Government Tool Room & Training Centre - Chitradurga,Manufacturing,,"Chitradurga, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
hungercat,IT Industry,,"Udupi, Karnataka, India",2018,https://www.hungercat.com/
ADVAITH INNOVATION AND INCUBATION FOUNDATION,Education Industry,,"Bangalore Rural, Karnataka, India",2025,
Govt. Tool Room & Training Centre Hunsur,Manufacturing,,"Mysuru, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
NYERAS EDUTECH & INNOVATIONS PRIVATE LIMITED,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://www.nyeras.com/
Abhivrtti India Pvt Ltd,Education Industry,,"Bengaluru Urban, Karnataka, India",2024,https://www.abhivrtti.com
Roshini Home Products,E-commerce,,"Mangalore, Karnataka, India",2020,https://www.roshinis.com/
InnAccel Technologies Private Limited,Health Care. Fitness & Recreation,,"Bengaluru Urban, Karnataka, India",2014,https://innaccel.com/
Kosha Technohub Pvt Ltd,IT Industry,,"Mysuru, Karnataka, India",2014,https://www.koshatechnohub.com/
Government Tool Room & Training Centre - KOLAR,Education Industry,,"Kolar, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
"Government Tool Room and Training Centre, Hassan",Manufacturing,,"Hassan, Karnataka, India",1994,https://gttc.karnataka.gov.in/en
Eduphoenix Solutions,Education Industry,,"Bengaluru Urban, Karnataka, India",2021,https://eduphoenixsolutions.in/
Campus Technology,IT Industry,,"Bangalore Rural, Karnataka, India",2009,https://campustechnology.me
ALPHAABETS DIGITAL LABS LTD,IT Industry,,"Bengaluru Urban, Karnataka, India",2021,https://www.alphaabets.com/
Aitch Nu Global Technologies Pvt. Ltd.,IT Industry,,"Bangalore Rural, Karnataka, India",2024,https://aitchnu.tech
MAGNUM CONSTRUCTIONS,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2023,https://www.magnumconstructions.in/
Kimshuka Technologies,IT Industry,,"Bengaluru Urban, Karnataka, India",2015,https://kimshuka.com/
Central Manufacturing Technology Institute,Manufacturing,,"Bangalore Rural, Karnataka, India",1962,https://cmti.res.in/
GOVERNMENT TOOL ROOM AND TRAINING CENTRE - DANDELI,Education Industry,,"Uttara Kannada, Karnataka, India",1995,https://gttc.karnataka.gov.in/10/dandeli-stu-09/en
Mecwin Technologies India Pvt Ltd,Manufacturing,,"Bengaluru Urban, Karnataka, India",2017,https://mecwinindia.com/contact/company-contacts.html
Amura Health Private Limited,Not Specified,,"Chennai, Tamil Nadu, India",2022,https://amura.ai
TrueByte Innovation LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://truebyteinnovation.com
PacePivot,E-commerce,,"Bengaluru Urban, Karnataka, India",2023,https://pacepivot.com/
MATRIX BUSINESS SERVICES INDIA PRIVATE LIMITED,IT Industry,,"Bangalore Rural, Karnataka, India",2003,https://www.linkedin.com/company/matrix-business-services-india-pvt-ltd/
Vidwat Associates,Construction & Engineering,,"vijayapura, Karnataka, India",2014,
GISUL,IT Industry,,"Bengaluru Urban, Karnataka, India",2020,https://www.gisul.co.in
SWEADISH LIFESCIENCES,Health Care. Fitness & Recreation,,"New Delhi, Delhi, India",1985,https://www.sweadishlifesciences.com/
"NTTF Bangalore Training Centre, Peenya Campus",Education Industry,,"Bangalore Rural, Karnataka, India",1978,https://nttftrg.com/internship-programs
Dotch Endeavours Private Limited,IT Industry,,"Bangalore Rural, Karnataka, India",2023,https://www.dotchendeavours.com/
Edutainer,Education Industry,,"Gurugram, Haryana, India",2009,https://www.edutainer.in/
Formaculture,IT Industry,,"Bengaluru Urban, Karnataka, India",2017,https://www.formaculture.com
SHLR Technosoft Pvt Ltd,IT Industry,,"Bangalore Rural, Karnataka, India",2010,https://shlrtechnosoft.com
Glorosh International,IT Industry,,"Kozhikode, Kerala, India",2005,https://glorosh.in/
NOTARC,Education Industry,,"Bangalore Rural, Karnataka, India",2022,https://www.notarc.in/
XT SILICON BRAINS TECHNOLOGIES PRIVATE LIMITED,Manufacturing,,"Bangalore Rural, Karnataka, India",2023,https://siliconbrains.co.in/index.html
BEST@PESU,Education Industry,,"Bangalore Rural, Karnataka, India",2024,https://pes.edu/best/
SmartED Innovations,Education Industry,,"Bengaluru Urban, Karnataka, India",2023,https://smarted.in
Angadi Technological Solution Private Limited,IT Industry,,"Bagalkote, Karnataka, India",2025,https://angsystech.com
Palindrome Labs,IT Industry,,"Gadag, Karnataka, India",2024,https://palindromelabs.com
Newgen Softech- Bangalore,IT Industry,,"Bengaluru Urban, Karnataka, India",2011,https://www.newgensoftech.com/
NR Innovium Technologies [OPC] Pvt Ltd,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://nrinnovium.com/
Nexainnov Solutions LLP,IT Industry,,"Dakshina Kannada, Karnataka, India",2024,https://www.nexainnov.com
AICTE Internships,Not Specified,,India,2020,
Matrix Square Technologies Private Limited,IT Industry,,"vijayapura, Karnataka, India",2015,https://matrix-square.com
Vstand4U Technologies Pvt LTD,Education Industry,,"Bangalore Rural, Karnataka, India",2025,
HAEGL TECHNOLOGIES PVT LTD,IT Industry,,"Hubli, Karnataka, India",2019,https://www.haegl.in
GOVT TOOL ROOM AND TRAINING CENTRE-BELAGAVI,Manufacturing,,"Belagavi, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Econfin Exploration Pvt Ltd,Education Industry,,"Bellary, Karnataka, India",2024,
VTU's VRIF,IT Industry,,"Belagavi, Karnataka, India",2023,https://vtuvrif.org
Avixo,IT Industry,,"Udupi, Karnataka, India",2026,https://avixo-software.web.app/
ABCG Pvt. Ltd.,Manufacturing,,"Dakshina Kannada, Karnataka, India",2000,https://abcgind.com
Logisys,Education Industry,,"Bengaluru Urban, Karnataka, India",1987,https://logisys.org
Nichi-In Software Solutions Pvt Ltd,IT Industry,,"Bangalore Rural, Karnataka, India",1997,https://www.nichi.com
Tiranga Aerospace,Manufacturing,,"Bangalore Rural, Karnataka, India",2017,https://www.tirangaaerospace.com/#
VSM Software Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2000,https://vsmsoftware.com/
QuantumHive,IT Industry,,"Bangalore Rural, Karnataka, India",2009,
VrishankSoft (OPC) PVT LTD,IT Industry,,"Belagavi, Karnataka, India",2023,https://www.vrishanksoft.com/
POWER DRIVE ENGINEERS,Construction & Engineering,,"Dakshina Kannada, Karnataka, India",1992,
GAwC Renewables LLP,Construction & Engineering,,"Chikmagalur, Karnataka, India",2025,https://gawcrenewables.in/
Genesis Training a unit of Genplus Training & Consulting Services PVT LTD,Education Industry,,"Bangalore Rural, Karnataka, India",2020,https://genplusconsulting.com/
Dscape.AI Private Limited,IT Industry,,"Bangalore Rural, Karnataka, India",2024,https://www.dscape.co/
Sukhena Technologies Pvt. Ltd.,Construction & Engineering,,"Bangalore Rural, Karnataka, India",2011,https://sukhena.com/
KIET TECHNOLOGIES PRIVATE LIMITED,Manufacturing,,"Bengaluru Urban, Karnataka, India",2014,https://kietsindia.com
Astranova Dynamics LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.astranovainc.com
"ekLakshya Innovation Labs PVT, Ltd",IT Industry,,"Dharwad, Karnataka, India",2007,https://www.eklakshya.com
Samvid Buildtech Pvt Ltd,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2018,https://www.samvidbuildtech.com/
Sada Smart Solutions LLP,Not Specified,,"Hubli, Karnataka, India",2021,www.sadasmart.com
SMN CONTRACTORS,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2019,
DFIVE Technologies Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2020,https://dfivetechnologies.com/
Rise Infotech,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.riseinfotech.in/
SKILL FACT,Not Specified,,"Bangalore Rural, Karnataka, India",2023,https://skillfact.in
JCE Innovation and Entrepreneurship Foundation,Education Industry,,"Belagavi, Karnataka, India",2025,
TORUS SOLUTIONS,IT Industry,,"Mysuru, Karnataka, India",2007,https://cptorus.in
Anspro Technologies,IT Industry,,"Bengaluru Urban, Karnataka, India",2013,https://ansprotech.com/
DTRI - Deshila Technology Research Institute,Telecom Industry,,"Mysuru, Karnataka, India",2022,https://www.dtri.in
Pushkala Technologies Pvt Ltd,Government sector,,"Bangalore Rural, Karnataka, India",2006,https://www.pushkala.in
Intelergy Engineering LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,
Seminarroom Education Pvt Ltd,Education Industry,,"Bengaluru Urban, Karnataka, India",2021,https://seminarroom.in/
Government Tool Room & Training Centre -Haveri,Manufacturing,,"Haveri, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Maven Silicon Pvt Ltd,Not Specified,,"Karnataka, India",2009,https://www.maven-silicon.com/
IT Solution Expert,IT Industry,,"Bengaluru Urban, Karnataka, India",2019,https://www.itsolutionexpert.co.in/
BINNBASH IT Solutions,Not Specified,,India,2016,
GLOBALKEMYA INDIA LLP,Construction & Engineering,,"Uttara Kannada, Karnataka, India",2019,https://www.globalkemya.com/
SOUTHERN SUPPLIERS HR SOLLUTIONS PVT LTD,Manufacturing,,"Bangalore Rural, Karnataka, India",1984,https://share.google/IdmdVaEgGi8CHWN9D
Adroit Technical Services Pvt Ltd,Construction & Engineering,,"Bangalore Rural, Karnataka, India",2005,https://www.adroitvaluation.com/
QA BANGALORE PVT LTD,Manufacturing,,"Bangalore Rural, Karnataka, India",2013,
VRAIO SOFTWARE SOLUTIONS PVT LTD,IT Industry,,"Bengaluru Urban, Karnataka, India",2015,https://vraio.in/
AJVA SP APPRAISAL SERVICES PRIVATE LIMITED,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2021,https://wyzvaluers.com/
Onfinance AI,IT Industry,,"Bengaluru Urban, Karnataka, India",2022,https://www.onfinance.ai/
DOSTBin Solutions private limited,Manufacturing,,"Bangalore Rural, Karnataka, India",2023,https://dostbin.com/
GANGOTHRI ENGINEERING CONSULTANCY & RESEARCH,Construction & Engineering,,"Chikkaballapur, Karnataka, India",2021,
Vivitron Energy Private Limited,Manufacturing,,"Bangalore Rural, Karnataka, India",2023,https://vivitronenergy.com
AMBINIX VENTURES PRIVATE LIMITED,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,https://www.ambinixventures.in/
YHills Edutech Pvt. Ltd.,Education Industry,,"Noida, Uttar Pradesh, India",2021,https://yhills.com/
Reliable Integrated Management and Business Solutions Pvt. Ltd. (RIMBUSS Pvt. Ltd.),IT Industry,,"Bangalore Rural, Karnataka, India",2021,https://rimbuss.com/
IN-BIOT Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2016,https://www.inbiot.co.in
Pavan Elastomers,Manufacturing,,"Bengaluru Urban, Karnataka, India",2024,https://pavanelastomers.com/
Orkla India,Not Specified,,India,2007,https://www.orklaindia.com
"Department of Mechanical Engineering, VTU, Belagavi-590018.",Education Industry,,"Belagavi, Karnataka, India",2015,https://www.vtu.ac.in
Chokmah Technologies Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2018,https://www.chokmah.in/
TriSpace Technologies Pvt Ltd,Telecom Industry,,"Bengaluru Urban, Karnataka, India",2015,https://www.trispacetech.com
Risk Guard Enterprise Solutions OPC Pivate Limited,IT Industry,,"Hyderabad, Telangana, India",2024,http://www.rgesindia.com
Teczo Softwares,IT Industry,,"Mysuru, Karnataka, India",2025,https://www.teczosoftwares.com
oAppsNET India Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2022,https://www.oappsnet.com/
Gold Plus Float Galss Pvt Ltd,Manufacturing,,"Belagavi, Karnataka, India",1985,https://goldplusgroup.com
GP Infra Projects,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2022,https://gpinfraprojects.com
Cambridge Institute of Technology North Campus,Education Industry,,"Bangalore Rural, Karnataka, India",2013,https://northcampus.cambridge.edu.in/
Multi Edz Tech Pvt. ltd.,IT Industry,,"Bengaluru Urban, Karnataka, India",2023,https://intern.multiedz.com
SPARKTECH INNOVATIONS,IT Industry,,"Tumkur, Karnataka, India",2023,https://www.sparktechinnovation.com/
eReleGo Technologies Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2019,https://erelego.com
MRF Limited,Manufacturing,,"Margao, Goa, India",1946,https://www.mrftyres.com
VisionAstraa EV Academy,Education Industry,,"Bangalore Rural, Karnataka, India",2023,https://visionastraa.com/the-best-ev-course-in-india.html
Saeyon Innovations LLP,Manufacturing,,"Bangalore Rural, Karnataka, India",2021,https://www.saeyon.org
Prinston smart engineers,IT Industry,,"Bangalore Rural, Karnataka, India",2016,https://prinstonsmart.com
Vtricks Technologies,IT Industry,,"Bengaluru Urban, Karnataka, India",2019,https://www.vtrickstech.com/
Government Tool Room & Training Centre - Maddur,Manufacturing,,"Mandya, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Codedale (Haniva Solutions Pvt. Ltd.),IT Industry,,"Hyderabad, Telangana, India",2022,https://www.codedale.tech/
GANGA & BROTHERS DIESEL GARAGE,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",1962,https://gangagarage.in
BUILD VIVIDH,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2022,
Vyooma LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2026,https://vyooma.in/
AANS Technologies,IT Industry,,"Bengaluru Urban, Karnataka, India",2023,https://aanstechnologies.in/
DHEE CODING LAB (UNIT OF PRODHEE TECHNOLOGIES PRIVATE LIMITED),Education Industry,,"Bangalore Rural, Karnataka, India",2024,https://dheecodinglab.com/
OMNEITY GROUP,Construction & Engineering,,"Belagavi, Karnataka, India",2020,https://omneity.in
KREAT INNOVATIONS PVT LTD,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://kreat.ai
Agrifence Gateway Private Limited,E-commerce,,"Bengaluru Urban, Karnataka, India",2023,https://www.allindiaagro.com
FindInbox Pvt Ltd,Education Industry,,"Bengaluru Urban, Karnataka, India",2017,https://www.findinbox.com
Sisuni Tech Pvt. Ltd,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://www.sisunitech.com/
RECILENS CORPORATION Pvt. Ltd.,IT Industry,,"Salem, Tamil Nadu, India",2024,https://recilens.com
Zivin Labs Private Limited,IT Industry,,"Davanagere, Karnataka, India",2022,
VEERTRONS ENGINEERING EQUIPMENT SALES & SERVICES LLP,Manufacturing,,"Belagavi, Karnataka, India",2025,https://site-uu4swcoku.godaddysites.com/
BITWISECAREER,Not Specified,,"Bangalore Rural, Karnataka, India",2009,https://bitwisecareer.com/
JSS EV CoE (Centre for Mobility Research and Innovation),Education Industry,,"Bangalore Rural, Karnataka, India",2023,
GenZ Educatewing Innovation Pvt Ltd.,Education Industry,,"Bangalore Rural, Karnataka, India",2023,https://genzeducatewing.com/
UCAM PRIVATE LIMITED,Manufacturing,,"Bengaluru Urban, Karnataka, India",1985,http://www.ucamind.com/
Abeyaantrix Edusoft LLP,Education Industry,,"Davanagere, Karnataka, India",2018,https://abeyaantrix.org
Centre of Excellence for Cyber security and Digital Forensics,Education Industry,,"Udupi, Karnataka, India",2025,https://www.mitkundapura.com/index.php/research/
Nakash Infotec,Not Specified,,India,2017,
Autotronics services private Limited,Manufacturing,,"Bengaluru Urban, Karnataka, India",2017,https://share.google/Rs9sRNIK0PNWkEZwm
Vijayalaxmi Gears,Manufacturing,,"Hubli, Karnataka, India",1997,https://vijayalaxmigroup.com/
MEDINI TECHNOLOGIES,Construction & Engineering,,"Bangalore Rural, Karnataka, India",2008,https://www.medini.in
Government Tool Room & Training Centre - Hospet,Manufacturing,,"Vijayanagara, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Govt. Tool Room and Training Centre-Shiggavi,Manufacturing,,"Haveri, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
BHUVAN CONSTRCUTIONS,Construction & Engineering,,"Dakshina Kannada, Karnataka, India",2005,
Outlinks,"Marketing, Advertising, Sales",,"Bengaluru Urban, Karnataka, India",2025,https://www.outlinks.in/
Unisol Academy,Education Industry,,"Mysuru, Karnataka, India",2024,https://unisolacademy.in
INCANTO DYNAMICS PRIVATE LIMITED,Education Industry,,"Bangalore Rural, Karnataka, India",2024,https://incantodynamics.com/
Red Dot Foundation,Government sector,,"Mumbai, Maharashtra, India",2014,https://reddotfoundation.in/
Coppernest Technologies India Pvt Ltd,Not Specified,,"Bangalore Rural, Karnataka, India",2018,www.coppernesttechnologies.com
HappyFlying Tours and Travels LLP,Travel & Tourism,,"Bangalore Rural, Karnataka, India",2025,https://happyflyingtravels.com
MEDINIS Eduphygital-BMS School of Architecture,Education Industry,,"Bangalore Rural, Karnataka, India",2015,https://eduphygital.com
Globetech Engineering Solutions,Education Industry,,"Bengaluru Urban, Karnataka, India",2017,http://www.globetech.net.in
Hostingsignal,IT Industry,,"Bangalore Rural, Karnataka, India",2021,https://hostingsignal.in
GN JERBI FOUNDATION NIDHI DST iTBI CENTER,IT Industry,,"Bidar, Karnataka, India",2022,https://www.gnjerbifoundation.com/
Multi axis innovations,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2011,
Sellora Hive,IT Industry,,"Hubli, Karnataka, India",2025,
Seezo,IT Industry,,"Bengaluru Urban, Karnataka, India",2023,https://seezo.io
ATOS Recruit LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://atos-skassociations.in/
Smart AI Technologies,IT Industry,,"Bangalore Rural, Karnataka, India",2020,https://www.smartaitechnologies.com
M PRO9 PVT LTD,Manufacturing,,"Mysuru, Karnataka, India",2020,https://www.mpro9.in/
Infokalash Private Limited,IT Industry,,"Hubli, Karnataka, India",2023,https://infokalash.com/
Three Axis Engineering Services Pvt Ltd,Construction & Engineering,,"Hubli, Karnataka, India",2006,https://3axis.co.in
DENSOL ENGINEERING Pvt Ltd,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2006,https://www.densol.biz
Pragyan EduSec LLP,Education Industry,,"Hubli, Karnataka, India",2025,https://pragyanedusec.in
Ignisforma Private Limited,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://ignisforma.com
White And Box - Tech Products and Services,IT Industry,,"Bengaluru Urban, Karnataka, India",2010,https://whiteandbox.com
"Elewayte, a company of Realtekh Software Services Pvt Ltd",Education Industry,,"Bengaluru Urban, Karnataka, India",2019,https://www.elewayte.com
Crismatech Automation,IT Industry,,"Bangalore Rural, Karnataka, India",2019,https://crismatech.com/
SHANTHALA POWER LIMITED,Construction & Engineering,,"Hubli, Karnataka, India",1999,http://www.shanthalaiindia.com
"PRITHVI HANGARGE INSTITUTE OF TECHNOLOGY, Bidar (Unit of HAB GROUP)",Construction & Engineering,,"Bidar, Karnataka, India",2014,https://www.habgroup.org
EDZEETA PRIVATE LIMITED,Education Industry,,"Hyderabad, Telangana, India",2021,https://edzeeta.com/
PALMET ENGINEERING LLP,Construction & Engineering,,"Vijayanagara, Karnataka, India",2021,
Gati shakti SBC ASTE office S&T,Government sector,,"Bengaluru Urban, Karnataka, India",2021,
AIRCON CONSULANTS,Construction & Engineering,,"Hubli, Karnataka, India",2000,
KaroStartup Technology India Pvt Ltd,Media & Entertainment,,"Noida, Uttar Pradesh, India",2020,https://thekarostartup.com/
Government Tool Room & Training Centre - GTTC-Gundlupet,Manufacturing,,"Chamarajanagar, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
"GOVERNMENT TOOL ROOM & TRAINING CENTER (GTTC), MANGALURU",Education Industry,,"Mangalore, Karnataka, India",1994,https://gttc.karnataka.gov.in/7/mangalore/en
RV-SKILLS Center for Emerging Technologies,Education Industry,,"Bengaluru Urban, Karnataka, India",2006,https://www.rv-skills.com
E&D SHAPERS EDUCOM PRIVATE LIMITED,Education Industry,,"Bengaluru Urban, Karnataka, India",2025,
Prime Enterprises,Construction & Engineering,,"Uttara Kannada, Karnataka, India",2025,https://primeenterprises023.wixsite.com/primeenterprises
Aarambha: Learn & Invest,Finances,,"Bengaluru Urban, Karnataka, India",2025,https://www.aarambha-invest.com/
Mythri Construction,Construction & Engineering,,"vijayapura, Karnataka, India",2025,
FeelFresh Global LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2017,https://www.freshweb.biz
Workflow Softwares,IT Industry,,"Belagavi, Karnataka, India",2018,https://workflowsoftwares.in
Scaleswift Digital Services LLP,IT Industry,,"Hyderabad, Telangana, India",2019,https://www.scaleswift.com
Elevate Labs,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://elevatelabs.in/
SINSJ CONSTRUCTION,Construction & Engineering,,"Uttara Kannada, Karnataka, India",2023,https://www.sinsjconstruction.in
JP HOUSING CORPORATION,Construction & Engineering,,"Bangalore Rural, Karnataka, India",2010,https://www.jphousing.in/
